Tank,START_DATETIME,PRESSURE_DATUM,DATE,oil_prod_cum,water_prod_cum,gas_prod_cum,oil_fvf,gas_fvf,gas_oil_rs_col
tank_north,1982-08-01,3626.396792897401,1982-08-01,33119.137931034486,7283.141379310345,33119.137931034486,1.1264585905075255,0.041712745,89.0
tank_north,1983-08-01,3565.483251317921,1983-08-01,33874.31034482759,7473.193103448276,33874.31034482759,1.1253516364707976,0.041712745,89.0
tank_north,1984-08-01,3504.5697097384405,1984-08-01,58087.09817518248,28313.798613138686,58087.09817518248,1.1369015997006098,0.041712745,89.0
tank_south,1985-01-01,1555.990178,1985-01-01,709316.07,95606.64,709316.07,1.1316702288202058,0.041712745,89.0
tank_north,1985-08-01,3443.6561681589606,1985-08-01,64854.85091240876,40896.72069343065,64854.85091240876,1.124359721002726,0.041712745,89.0
tank_south,1986-01-01,1521.047282,1986-01-01,872602.07,113858.64,872602.07,1.1397424429835326,0.041712745,89.0
tank_north,1986-08-01,3382.74262657948,1986-08-01,92479.43853766618,80180.33992614476,92479.43853766618,1.125197720376119,0.041712745,89.0
tank_south,1987-01-01,1486.104386,1987-01-01,1054380.07,136539.64,1054380.07,1.1378865523250712,0.041712745,89.0
tank_north,1987-08-01,3321.829085,1987-08-01,95172.05485967505,80692.39125553914,95172.05485967505,1.1373041798227006,0.041712745,89.0
tank_south,1988-01-01,1451.16149,1988-01-01,1192348.07,152351.64,1192348.07,1.1331320397387747,0.041712745,89.0
tank_north,1988-08-01,3416.1156549999996,1988-08-01,97872.04821270311,81205.84546528803,97872.04821270311,1.1297687424534135,0.041712745,89.0
tank_center,1988-09-01,3675.67101,1988-09-01,344829.8333,531833.9033,344829.8333,1.1202081326763431,0.041712745,89.0
tank_south,1989-01-01,1416.218594,1989-01-01,1358200.07,174799.64,1358200.07,1.1407674115859183,0.041712745,89.0
tank_north,1989-08-01,3510.402225,1989-08-01,100564.66453471198,81717.89679468243,100564.66453471198,1.1250438042814404,0.041712745,89.0
tank_center,1989-09-01,3499.68952,1989-09-01,422822.8333,770626.9033,422822.8333,1.1207226303773985,0.041712745,89.0
tank_south,1990-01-01,1381.2756980000001,1990-01-01,1472805.07,189390.64,1472805.07,1.1382081647978455,0.041712745,89.0
