Tank,START_DATETIME,PRESSURE_DATUM,OIL_CUM,WATER_CUM,GAS_CUM,Bo,Bg,GOR,Bo,Bg,GOR
tank_north,1982-08-01,3626.46938886242,33055.0,7267.0,33055.0,1.120207519504688,,89.0,1.120207519504688,,89.0
tank_north,1983-08-01,3565.541328089936,33055.0,7267.0,33055.0,1.1207221398400744,,89.0,1.1207221398400744,,89.0
tank_north,1984-08-01,3504.613267317452,55825.0,24108.0,55825.0,1.1211849516903833,,89.0,1.1211849516903833,,89.0
tank_south,1985-01-01,1555.990178,709316.07,95606.64,709316.07,1.133013597746383,,89.0,1.133013597746383,,89.0
tank_north,1985-08-01,3443.685206544968,55825.0,24108.0,55825.0,1.1213866272272237,,89.0,1.1213866272272237,,89.0
tank_south,1986-01-01,1521.047282,872602.07,113858.64,872602.07,1.1332816170268254,,89.0,1.1332816170268254,,89.0
tank_north,1986-08-01,3382.757145772484,90686.82,79839.44,90686.82,1.1215883027640643,,89.0,1.1215883027640643,,89.0
tank_south,1987-01-01,1486.104386,1054380.07,136539.64,1054380.07,1.1335744419729707,,89.0,1.1335744419729707,,89.0
tank_north,1987-08-01,3321.829085,90686.82,79839.44,90686.82,1.1217899783009049,,89.0,1.1217899783009049,,89.0
tank_south,1988-01-01,1451.1614900000002,1192348.07,152351.64,1192348.07,1.1338727729577487,,89.0,1.1338727729577487,,89.0
tank_north,1988-08-01,3416.1156549999996,90686.82,79839.44,90686.82,1.1214778840970108,,89.0,1.1214778840970108,,89.0
tank_center,1988-09-01,3675.671010000001,344829.8333,531833.9033,344829.8333,1.1197919448999765,,89.0,1.1197919448999765,,89.0
tank_south,1989-01-01,1416.2185940000002,1358200.07,174799.64,1358200.07,1.1341711039425268,,89.0,1.1341711039425268,,89.0
tank_north,1989-08-01,3510.402225,90686.82,79839.44,90686.82,1.1211657898931164,,89.0,1.1211657898931164,,89.0
tank_center,1989-09-01,3499.689520000001,422822.8333,770626.9033,422822.8333,1.1212012495894288,,89.0,1.1212012495894288,,89.0
tank_south,1990-01-01,1381.2756980000001,1472805.07,189390.64,1472805.07,1.134469434927305,,89.0,1.134469434927305,,89.0
tank_north,1990-08-01,3280.574107,90686.82,79839.44,90686.82,1.1219265347533836,,89.0,1.1219265347533836,,89.0
tank_center,1990-09-01,3323.7080300000007,555476.8333,1000111.9033,555476.8333,1.1217837588802182,,89.0,1.1217837588802182,,89.0
tank_south,1991-01-01,1346.3328020000001,1595590.07,200804.64,1595590.07,1.1347677659120832,,89.0,1.1347677659120832,,89.0
tank_north,1991-08-01,3050.745989,90686.82,79839.44,90686.82,1.1226872796136507,,89.0,1.1226872796136507,,89.0
tank_center,1991-09-01,3147.7265400000006,689366.8333,1236022.9033,689366.8333,1.1223662681710076,,89.0,1.1223662681710076,,89.0
tank_south,1992-01-01,1311.3899060000003,1685732.07,211931.64,1685732.07,1.135066096896861,,89.0,1.135066096896861,,89.0
tank_north,1992-08-01,2820.917871,90686.82,79839.44,90686.82,1.1240275237296642,,89.0,1.1240275237296642,,89.0
tank_center,1992-09-01,2971.7450500000004,786308.8333,1346118.9033,786308.8333,1.1230772328652137,,89.0,1.1230772328652137,,89.0
tank_south,1993-01-01,1276.4470100000003,1795984.98,227041.05,1795984.98,1.1353644278816393,,89.0,1.1353644278816393,,89.0
tank_north,1993-08-01,2591.089753,186003.82,85152.44,186003.82,1.1254755622223103,,89.0,1.1254755622223103,,89.0
tank_center,1993-09-01,2795.7635600000003,942137.8333,1379270.9033,942137.8333,1.1241860091704403,,89.0,1.1241860091704403,,89.0
tank_south,1994-01-01,1241.5041140000003,1884934.98,246640.05,1884934.98,1.1356627588664174,,89.0,1.1356627588664174,,89.0
tank_north,1994-08-01,1867.3221830000002,443507.82,89172.44,443507.82,1.130625616510976,,89.0,1.130625616510976,,89.0
tank_center,1994-09-01,2619.78207,1078307.8333,1436942.9033,1078307.8333,1.125294785475667,,89.0,1.125294785475667,,89.0
tank_south,1995-01-01,2586.32978,1945380.98,265233.05,1945380.98,1.125505552565476,,89.0,1.125505552565476,,89.0
tank_north,1995-08-01,1143.554613,670426.82,94234.44,670426.82,1.136499019578519,,89.0,1.136499019578519,,89.0
tank_center,1995-09-01,2443.80058,1207884.8333,1514343.9033,1207884.8333,1.1264585905075255,,89.0,1.1264585905075255,,89.0
tank_south,1996-01-01,2610.7588587500004,1945380.98,265233.05,1945380.98,1.1253516364707974,,89.0,1.1253516364707974,,89.0
tank_north,1996-08-01,1096.4012294909091,899164.82,102579.44,899164.82,1.1369015997006098,,89.0,1.1369015997006098,,89.0
tank_center,1996-09-01,2768.192564,1317749.8333,1565466.9033,1317749.8333,1.124359721002726,,89.0,1.124359721002726,,89.0
tank_south,1997-01-01,2635.1879375000003,1945380.98,265233.05,1945380.98,1.125197720376119,,89.0,1.125197720376119,,89.0
tank_north,1997-08-01,1049.2478459818183,1072973.82,123704.44,1072973.82,1.1373041798227006,,89.0,1.1373041798227006,,89.0
tank_center,1997-09-01,1979.036762,1533577.8333,1681394.9033,1533577.8333,1.1297687424534135,,89.0,1.1297687424534135,,89.0
tank_south,1998-01-01,2659.6170162500002,1945380.98,265233.05,1945380.98,1.1250438042814404,,89.0,1.1250438042814404,,89.0
tank_north,1998-08-01,1002.0944624727273,1214963.82,166637.44,1214963.82,1.1376955373355753,,89.0,1.1376955373355753,,89.0
tank_center,1998-09-01,1524.880926,1837152.8333,1831652.9033,1837152.8333,1.1332522121799475,,89.0,1.1332522121799475,,89.0
tank_south,1999-01-01,2684.0460950000006,1987766.98,360911.05,1987766.98,1.1248898881867617,,89.0,1.1248898881867617,,89.0
tank_north,1999-08-01,954.9410789636364,1321788.82,207673.44,1321788.82,1.138056137177555,,89.0,1.138056137177555,,89.0
tank_center,1999-09-01,1722.7619295,1995338.8333,1899598.9033,1995338.8333,1.1317344237238538,,89.0,1.1317344237238538,,89.0
tank_south,2000-01-01,2493.4631383750007,1987766.98,360911.05,1987766.98,1.1261071444739243,,89.0,1.1261071444739243,,89.0
tank_north,2000-08-01,907.7876954545455,1396833.82,256304.44,1396833.82,1.1384049024629226,,89.0,1.1384049024629226,,89.0
tank_center,2000-09-01,1920.642933,2095369.8333,1953494.9033,2095369.8333,1.13021663526776,,89.0,1.13021663526776,,89.0
tank_south,2001-01-01,2302.8801817500007,1987766.98,360911.05,1987766.98,1.1274558390714133,,89.0,1.1274558390714133,,89.0
tank_north,2001-08-01,860.6343119454546,1463323.82,391319.44,1463323.82,1.1386847709969963,,89.0,1.1386847709969963,,89.0
tank_center,2001-09-01,2118.5239364999998,2296457.8333,2057598.9033,2296457.8333,1.1287604692250492,,89.0,1.1287604692250492,,89.0
tank_south,2002-01-01,2112.2972251250003,1994542.07091,372300.5955,1994542.07091,1.1288045336689025,,89.0,1.1288045336689025,,89.0
